"","st_id","op_id","op_date","st_alt","st_dist_source","st_t_jan","st_t_jui","sp_nom","sp_effectif"
"26235",1127,3381,"11/5/2006 00:00:00",5,NA,4.5,18.9,"Lepomis gibbosus",1
"3044",45,361,"3/9/2003 00:00:00",124,82,3.1,18.6,"Leuciscus leuciscus",1
"30110",1375,3761,"26/4/1989 00:00:00",NA,NA,6.3,20.6,"Perca fluviatilis",1
"30900",1330,3825,"6/9/2001 00:00:00",34,57,5.9,19.7,"Esox lucius",4
"30161",1377,3766,"21/9/1993 00:00:00",27,19,5.4,20.5,"Perca fluviatilis",1
"7560",614,872,"13/5/1997 00:00:00",29,428,4.8,20.7,"Gobio gobio",2
"38261",1872,4677,"16/6/1995 00:00:00",9,52,6.8,19.1,"Rutilus rutilus",14
"645",597,83,"14/4/1995 00:00:00",NA,NA,3.7,19.5,"Rutilus rutilus",26
"39583",1699,4833,"24/9/1997 00:00:00",15,56,6.5,19.3,"Gobio gobio",135
"3713",450,434,"6/5/1998 00:00:00",58,285,4,20,"Perca fluviatilis",13
"37082",1689,4521,"1/6/1994 00:00:00",5,135,6.6,19.4,"Pungitius pungitius",1
"24218",1162,3110,"4/4/2002 00:00:00",5,663,4.5,18.8,"Esox lucius",1
"35267",1606,4277,"21/10/1987 00:00:00",21,14,7.3,17.3,"Anguilla anguilla",166
"24049",1109,3079,"9/10/1998 00:00:00",4,20.31,5,18.2,"Salmo trutta fario",8
"20462",1039,2583,"12/10/1999 00:00:00",143,55.97,4.5,18.1,"Gobio gobio",3
"39761",1755,4856,"30/9/1997 00:00:00",53,18,5.7,18.7,"Rutilus rutilus",3
"27099",1427,3490,"8/10/1998 00:00:00",85,95,4.4,19.5,"Anguilla anguilla",2
"2921",38,346,"11/4/2002 00:00:00",16,79,4,18.4,"Tinca tinca",2
"19416",1230,2446,"8/7/1992 00:00:00",268,6.5,3.7,18,"Barbatula barbatula",29
"23256",827,2951,"18/9/2006 00:00:00",52,39.02,4.8,18.5,"Barbatula barbatula",248
"16317",890,1988,"24/9/1987 00:00:00",60,30,5.4,18.6,"Lampetra planeri",1
"3225",484,384,"20/3/1986 00:00:00",NA,NA,3.9,20.1,"Squalius cephalus",10
"22012",831,2789,"6/10/1994 00:00:00",88,14,5.4,18,"Gobio gobio",120
"9853",234,1206,"16/3/1989 00:00:00",53,60,3.7,19.5,"Squalius cephalus",1
"29323",1294,3679,"26/6/1986 00:00:00",21,644,5.6,20.3,"Sander lucioperca",2
"3587",451,424,"16/4/1997 00:00:00",57,109,3.8,20,"Alburnus alburnus",21
"2313",183,277,"31/5/2000 00:00:00",9,169,4.5,18.4,"Rutilus rutilus",35
"26805",1330,3465,"19/9/1996 00:00:00",34,57,5.9,19.7,"Anguilla anguilla",5
"19535",1020,2464,"20/10/1994 00:00:00",114,15,4.8,18.3,"Cottus gobio",1
"18432",954,2302,"11/9/1991 00:00:00",145,4.79,4.6,18.2,"Cottus gobio",1
"32452",1287,3954,"9/9/2003 00:00:00",17,308,5.8,20.2,"Squalius cephalus",72
"23727",1162,3027,"30/4/1996 00:00:00",5,663,4.5,18.8,"Rutilus rutilus",7
"19324",981,2434,"24/10/1991 00:00:00",209,10,4.2,18.2,"Tinca tinca",1
"29170",1309,3668,"20/10/1999 00:00:00",28,92,5.5,20.5,"Rutilus rutilus",41
"25727",858,3294,"29/9/2004 00:00:00",141,44,3.9,18.6,"Esox lucius",2
"3684",454,432,"25/9/1997 00:00:00",41,454,4,19.7,"Cottus gobio",1
"4688",449,541,"9/5/1996 00:00:00",47,305,3.9,20.2,"Scardinius erythrophthalmus",6
"4120",49,482,"26/10/2000 00:00:00",129,NA,3.1,18.6,"Gobio gobio",2
"34870",1696,4213,"21/6/1983 00:00:00",70,8,6.1,18.5,"Rutilus rutilus",59
"37361",1812,4561,"25/8/1985 00:00:00",56,28,7.1,18,"Barbatula barbatula",81
